bug_id,desc,severity
108710,Browser hangs after submitting form,critical
109010,Alignment of header on create attachment page is wierd.,minor
109319,window.location.href missing Referer,major
109505,Personal Toolbar folders non-functional: empty menu appears,critical
109706,localstore.rdf corrupted and lost on unclean exits,critical
109736,XIM server always receive XIMPreeditUnKnown when ResetIC,minor
109845,Quirky behavior of arrow keys in textarea box on Mac OS,minor
110180,Hang when pressing 'Back' (~95% CPU usage),critical
110269,Crash when closing popup associated with displayed image confirmation,critical
110288,JavaScript script doesn't work,critical
110534,GPF with access violation at the return of NeedFontPackage of nsIFontPackageHandler,critical
110603,Bugzilla Helper needs to include Win XP in pulldown,minor
110835,Rename members of BITMAPINFOHEADER and BITMAPFILEHEADER,minor
110856,Crash when clicking on link from http://www.cs.wisc.edu/~kovar/hall.html to http://www.improbable.com/,critical
110903,new script hook not called for fastloaded scripts,major
111488,Some pages do not default to focus in main window,minor
111513,Window from window.open() lacks history,major
111548,Crash from examining document.cookie properties?,critical
111602,XBL binding not attaching in 0.9.6,major
111677,Cannot open new browser window while page loading,minor
112360,rapid runaway unstoppable memory leak,critical
112418,Caret remains in a table cell when scrolling up or down in composer,minor
11270,XP text widget eats extra character,major
112793,"Non-ASCII characters become ""?"", both as rendered and in source",major
113078,strict javascript is too zealous about undefined properties,minor
113115,"Print Preview scrolls only in single axis except origin 0,0",major
113214,Browser crash on page load,critical
113269,Image aligns improperly when next to another image,minor
113394,crashes with Macromedia plugins in 0.9.6,major
113457,Can't drag and drop links onto ICQ ,minor
113629,"keyboard shortcut for ""select all"" is broken",minor
113962,xml:base has know effect when XSLT is used,major
114151,no widget in Open Web Location dialog receives focus,major
114230,mozilla nightly build downloads are corrupt,major
11432,Reproducable crash on form submission,critical
114339,Mozilla fails pastes incorrect passwords,major
114662,crash when viewing cnn.com,critical
114758,Browser crashes on reload of that page,critical
114762,Browser crash (TB354880X),critical
11526,&uuml entity in <title> not displayed correctly in title bar,minor
115395,"""Save As..."" at full-page mpg video does nothing (aDocument has no properties)",major
1157,AVI and WAV OBJECTs won't play but crash instead,critical
115788,xfs remote DoS with Mozilla,critical
116008,"Default for ""Save Page"" is ""Web Page, Complete""",major
116378,New MNG decoder's bug ,major
116516,Links not functional in a shifted DIV,major
116710,Opens Bookmarks for default when m typed into username field,minor
116745,sensitive profile data stored world readable,critical
116774,Over CPU usage when holding down mouse button,minor
116910,Startup problems (due to profile migration?),critical
117166,Crash after right-clicking picture,critical
117195,Cannot access any HTTPS urls,major
11733,dislays bug list when it shouldent,minor
117480,"""Unknown Socket Type. Loading Aborted"" window pops up after I try to log in",major
117695,Links in the URL above will crash mozilla,critical
118199,images with a width but no height mess up table layout,major
119634,a:hover over a link doesn't work over the entire link,minor
12012,XUL doesn't reflow correctly on resize,major
120577,"tree doesn't grow scrollbars, and corrupts data",major
12086,Multiple cursors appear in edit area after some time of use.,major
120959,"Use of "".."" in address causes links to relative URL's to fail",minor
121356,master password dialog pops up repeatedly,critical
121696,Expired cookies are being stored with wrong (future) dates.,major
121742,Moving the cursor up in a TEXTAREA in malformed HTML causes crash,major
122110,running checksetup as non-root fails if file permissions aren't right,major
122487,"Lock icon stays on even when you're no longer on secure page, if you use tabs",major
122771,Fails to submitt stores on Squishdot based sites,critical
122889,"OSX 10.1.1, 2002013108 build",critical
123131,vertical-align:top doesn't apply on TD with h3 inside,minor
123405,Insertion point isn't correct when clicking the end of a line with long paragraphs,critical
123490,Crash when setting style.display of TR element (table row),major
123674,stylesheet will not load if filename is not *.css,major
123932,Single item selection box  for departing and returning months hangs when holding down up or down arrow keys,minor
123959,"Downloaded files are only accessible by the user who downloaded them, in Windows XP",minor
123969,Danish characters æøÆØ not correctly transliterated,minor
124103,infinite loop during page load,major
12440,Need a widget that can act like an editable pushbutton,critical
124425,"Ctrl-T, Ctrl-N does not work during page formatting",minor
124557,[crash] mozilla bugzilla query crashes 0.9.8 on Tru64 UNIX 5.1,major
124632,"Crash if I use ""print preview"" and then enter another URL",critical
124765,Wrong display of accented charcters!!!!,major
124777,leaving page setup also leaves print preview,minor
125271,M098 crashes selecting printer properties [@ MapPaperSizeToNativeEnum],critical
125275,All the content of a form inside a IFRAME is shifted to the left in Mozilla 0.9.8,major
125280,Mac 8.6: mozilla crashes when changing hebrew/arabic font prefrences,critical
125434,Mozilla 0.9.8 doesnt not run any plugins !,critical
125771,a pop-up warning appears before the print dialog on first attempt to print from a window,major
125772,Reload button should be disabled until URL starts loading,minor
125972,Form submission leads to crash,critical
125983,alt text of unloadable images not visible without height/width,major
126194,"ASSERTION: second byte out of range: 'UINT8_IN_RANGE(0x40,aByte2, 0xFE)', file /home/timeless/mozilla/intl/uconv/ucvcn/nsGBKConvUtil.cpp line 113",minor
126467,unable to drag'n'drop on linux,critical
126990,Weird layout of ComboBox,minor
127215,xpidl is crashing,critical
127325,Regression: The most content is missing on this page,major
127522,crash in PL_HashTableRawAdd in nsGlobalHistory::SearchEnumerator::IsResult,critical
127655,ISO 8859-2 titles printing,major
127718,Unable to enter text or change anything in the form on this page.,major
127825,mozilla memory use grows continuously during javascript controlled image animations,critical
12783,Tables overlapped,minor
128045,connecting localhost IMAP does not work anymore,critical
12822,"[PP] Mac OS - when GFX is enabled, J pages display garbage",major
128275,Security icon does not correspond with current tab,major
128348,"download progress dlg sometimes doesn't appear,  resulting in stalled or failed download",critical
128424,"Sanity check cries for missing ""everconfirmed"" on imported Bugs",minor
128501,Crash printing a page with an IFRAME,critical
128697,"have to restart to get ""cookie"" prefs in Scripts and Windows working",critical
129083,Right click on snowmobile picture causes reproduceable crash,major
129196,form submission occurs repeatedly when only one click,major
129283,Disabled menu's dropdown shows if you select it right after opening another menu's dropdown,minor
129434,Wont save print properties/page setup,major
129442,Make HTML of a default installation HTML W3C compliant,major
129494,"Disabling, enabling stylesheets leaves layout dirty",major
129829,While printing: Starting with second print job title and URL is always the one from the first print job,major
129970,Print preview crashes after changing from landscape to portrait mode,critical
130285,"Print preview turns on ""personal toolbar""",minor
130660,profile/bookmarks/preferences are lost,critical
13072,{css1} font-size not interpreted correctly,critical
130918,"Image buttons, which picture are no available do not POST data/submit",minor
130966,Bad image drawing ,minor
131069,unwanted 'connection refused' messages,minor
131141,logout destroys cache if don't exit mozilla,major
131173,"Up/down arrows, Home/End keys confused in right-aligned DIV containing HR",critical
131270,Closing Print Preview make tabs of Sidebar dissapear.,major
131367,Incorrect font attributes when Anti-Aliasing turned on,major
131683,List with image aligned to the left - item markers overlap image [OL UL IMG],minor
131691,REGRESSION: proxy password forgotten after one request,major
131884,mozilla forgets to clear DHTML text sometimes,minor
131967,Cookies located under ...\Mozilla\bin gone when I delete ...\bin to reinstall,minor
132130,Trunk M099 crashes at this site [@ MSVCRT.DLL | ntdll.dll | nsTableOuterFrame::InitChildReflowState | nsViewManager::Refresh],critical
132416,"cant close window, cant scroll up and down",major
132590,Browser crash on reload,critical
132600,Refactor ns4xPlugin.cpp,major
133,Navigator draws entities like &lt;&amp;&gt; as ''?''s when KOI-8 encoding is set.,minor
133013,Printer is not recognized,major
133034,clicking a button in a frame causes loss of align,minor
13342,JavaScript error at loading this page,major
133425,Audit show_bug.html.tmpl for FILTER usage,critical
133492,JavaScript cannot write tagged text: see included code,major
134021,Anchor tags with '#' name tags do not work.,major
134258,java and flash plugins block mozilla,major
134769,Print preview crashes after landscape / refresh at http://www.s1.com/,critical
1353,Crash in JS_GetPrivate(),critical
135433,Crash on WheresGeorge page load,critical
135480,CSS charset delivered by HTTP is not respected,major
135498,Navigating exclusively in tabs crashes browser,critical
13557,Crash Clicking Cancel button in Link Properties of Editor,critical
135626,CPU / mouse-cursor hog,major
135811,Crash after infinite recursion: nsContentTreeOwner::FindItemWithName -> nsDocShell::FindItemWithName -> nsDocShell::FindItemWithName (loop back to nsContentTreeOwner),major
136140,2nd print job shuts down all Mozilla sessions,critical
136788,Moz doesn't render text/xml pages when going back or forward to them.,major
13688,a white-space: -moz-pre-wrap style on body causes whitespace in <head> to render,major
136920,Can't see/edit trust on CA certs imported from P12. Can't install CA certs either after P12 import.,minor
136930,opening some mail folders causes infinite resize looping,critical
136961,pdf file in new window crashes when window closed -- no talkback,critical
137399,removeAttribute doesn't work in HTML,major
137752,"""Save Link As..."" escapes characters in filename (e.g. spaces -> %20)",minor
138205,M100 Trunk crashing after sending multiple dialogs [@ GlobalWindowImpl::DropTimeout],critical
138335,Mozilla can not display chinese GB2312 code correctly,major
138477,MozillaChat menuitem not working,major
138562,"Mail, News and Preference munus display but are un-clickable",major
13873,Extraneous white space inserted into pasted CGI URL ,minor
138746,Invalid certificate error code -8182,major
138875,"Deleting a certificate does nothing, crashes",critical
138881,Crash when trying to download Java plugin,major
138977,Mozilla crashes while loading new page when flash context menu is open,critical
138986,Sticky pane resizing,major
139021,Tables with colspan cells are not rendered properly,critical
139022,"Crash occured when dowloading (starting a transfer, right after you click the link)",critical
139194,mode_switch has no effect if XKB disabled,major
139433,Crashed when POSTing XMLHttpRequest,critical
140164,Assertion/Crash in JS_GetPrivate() called from nsXBLPrototypeHandler::ExecuteHandler,critical
140272,accents are not displayed,major
140379,[RFE] DNS: (optional) check for illegal DNS query before calling resolver,minor
140395,unable to view multipart/x-mixed-replace;x-view-type=view-source documents,major
140428,Mozilla does not ackowledge horizontal/ vertical spacers,minor
140645,Not changing the username when authenticating.,major
141037,Seems to not remember session cookie,major
14109,HTMLBodyElement.dir returns nothing,major
14130,DLLs unloaded prematurely (aka xpcom trapeze act!),critical
141348,XMLHttpRequest allows local files to be read,major
141627,"browser seems to ignore the ""Content-disposition: attachment"" header",major
14172,"Context menus visit, but they never leave",major
141726,Crash w/ SVG build on SVG content,critical
142089,submit type=image submits name as well as x/y,minor
142165,Don't serialize 'http://host/file.xul' and 'file:///c:/file.xul',critical
142793,"tables, width and missing height causes problems with some pages.",major
14292,MLK: nsWidget::GetXIC(),major
142923,Network printers not available under Windows XP,critical
143025,fails to print home.netscape.com,critical
143036,Crash after changing Image Acceptance Policy and reloading,critical
143109,"If ""Print Command"" doesn't exist Mozilla doesn't tell anything.",minor
143346,mfcEmbed crash [@nsDeviceContextSpecWin::Init],critical
143471,Mozilla should not pass :hover direction in a Print Preview,major
143664,"Crash in pt_PostNotifies [nsWebShellWindow::FirePersistenceTimer, PR_Unlock, pthread_cond_signal, __pthread_lock]",critical
143943,Text spills out of boundaries,minor
144332,email not working,critical
144587,clicking javascript: link should not stop loading page,minor
145184,Wrong XSLT transformation result: first tag is not created.,major
145218,charset in meta tag behaves strange inside frames,major
145467,"nsLineBox always have mBounds.x == 0 (zero), even when the a short line is right aligned.",minor
145683,wefqewfd,critical
145692,RC2 still misses mouse-out events,critical
145702,error occurs on intial access of query.cgi in 2.16RC1,minor
146270,"secure page fails to load with moz1.0-rc2, loads with netscape 4.77",major
147169,printing of images fails,major
147477,file is save as .tar.gz.tar,minor
147479,Post installation checklist talks about the old template parameters.,major
147634,Setting sellectedItem is broken for dynamically created radiogroup,major
148167,Browsing not possible for dummy interfaces on webserver,major
148208,Configuration Files Becoming Corrupted,critical
148304,program file downloads corrupted,major
148455,SVG path statement does not display correctly,major
148623,Browser crashes on print of svg graphics,critical
148852,N70PR1 crash [@ InMemoryDataSource::Unassert  ],critical
149075,remote xfeDoCommand(openInbox) crashes mozilla if no messenger,major
149478,XPI install confirmation defaults to Install,major
1496,Links on this page are not working,major
149698,PDF file doesn't display if Acrobat Reader is already running,minor
149710,Mozilla crashes after producing a wrong printout,critical
149909,crash with overflow:auto on tbody in table,critical
149942,Constructed with normal frame but doesn't work with mozilla,critical
150016,Downloads crash Mozilla 1.0 in OS X,major
1502,assertion in line layout,critical
150534,"Page images/pages don't load in Mozilla but do in Netscape, IE, and Opera",major
150563,[Meta]Mozilla ATK Implementation (MAI) Test Cases,major
150787,verify-new-product.html.tmpl doesn't set defaults,minor
151210,Settings are not saved with page setup & print preview,major
151432,reloading this page breaks all the images,minor
151587,tables not shown correctly in printout,major
151597,BASE tag in BODY being parsed,major
151754,,major
151825,Incorrect File extension,minor
152004,Return to the focus to original Tab when you open a new  tab from original tab,minor
152061,Memory leak of 24 bytes from 1 block allocated in NS_NewThread,major
152158,The page render blank page and crashed.,critical
152393,"""ActiveX Error...Could not create the control"" when loading flash",major
153057,does not access web,minor
153198,browser crashes when finished with loading page,critical
153583,Links to obsoleted attachment should use line-through style,minor
153621,Browser crashes when viewing a bad image....,critical
153860,"PSM generates error messages when installed as root, can't install as user",major
154695,USES TOO MANY CPU CYCLES WHEN SHOWING ANIMATED GIFS,critical
154794,"crash on launch (winembed, mozilla)(debug, optprofile) [@_heap_alloc_base]",critical
154887,XHTML closing tag not well parsed by stylesheet,minor
1549,crash on bogus urls (xpviewer and viewer),major
155175,Certain truetype fonts crash mozilla,critical
155217,Images created without height get incorrect height value...,major
155385,cant same images,major
155412,nsIClassInfo crash [@nsGenericFactory::GetHelperForLanguage] mInfo is null,critical
155473,"with no flash on OS X, reloading this test page closes browser",critical
155517,menus get confused (specifically the cascading file menu pops up in the wrong place),minor
155567,Proxy Authorization dialog isn't shown with autoproxy conf,major
155573,A cookie that appear to slow Netscape browsers down,major
155598,"MNG in <link rel=""shortcut icon"" ...> causes Mozilla to crash",major
155633,images not loading,major
155843,Flash captures too important keys,minor
155908,Failed to import a PK12 certificate,major
15597,[PP]AddSubcomponent: File not installed when it is not renamed,critical
156088,Profile mapping lost.,critical
156140,"Mozilla is default broser, IE icons shown",major
156318,"Trunk, M1BR, M11A crashes while printing [@ GDI32.DLL]",critical
156653,No background color on transparent GIF in SPAN element,minor
157123,Browser scrollbars continue scrolling after I release mouse button,major
157289,Cannot paste text into text areas on forms,major
157323,"Crash when  resuming from  ""Stand By""  (NO TALKBACK)",critical
157984,"Javascript/DOM ""setting a property that has only a getter"" javascript error for style.left and style.top",major
158243,Closing mozilla after viewing page and then attempting to reopen fails,minor
158342,Incorrect rendering of elements when overflow is set  to hidden,major
158547,Can't enter Text in inputs <text> and <textaera> forms,major
158835,Quirky Unicode font rendering,major
158836,Off by one event problem,minor
159110,Mozilla adds unecessary .txt to name of downloaded file,minor
159152,Javascript can steal cookies from other domains,critical
159997,Error Code -8174,critical
160986,Clicks in vertical scrollbox causes crash - GKLAYOUT.DLL,critical
161726,paragraph <P>text</P> in a table cell <TD> has space before and after.,minor
162287,Offline mode tries to connect to the Internet for a cached page,major
162352,"Browser crash on styling XML with XSLT that contains <item attribute=""{$a}"" />",critical
162409,Can trick layout history into filling <input type=file> with text from <input type=text> using key collision,major
162423,Japanese character display broken,major
162436,browser crashes on exit after displaying some pages,critical
162620,Option-click in scroll bar should scroll document position to clicked point,minor
162862,"trunk build loads ""blank"" profile; pre-1.1 restores it (Quicklaunch?)",critical
162875,Possible error in TCP system?,major
162991,Regression: Hebrew text doesn't appear with hebrew font,major
163254,could not save as mp3--only mp2,major
163423,NativeDeleteKey needs to deal with non-existent keys gracefully,critical
163514,Need a deletekeyrecursive function in xpinstaller,major
163786,local file without extension is not rendered in browser although of GIF type,major
164502,"review: Importxml will fail if versioncache needs update, Fix - needed on 2.16 as well as 2.17",major
164523,Submit action makes browser crash,critical
164566,Param and UserInGroup are not defined in Bugzilla::Search,major
164971,back button will not function and go/back is not available,major
164993,Profile Migration has problem.,major
165169,Select to beginning/end of document don't work,major
165233,mozilla crashes when printing the page,major
165279,Hitting back button does not takes you back to the correct page.,major
165353,Regular Expression parsed incorrectly,major
165391,crash when flash plug-in enabled,critical
165585,"[TRUNK] FTP listing is not working properly for native filename, unable to download",major
165654,Mozilla 1.1 crashes when downloading large files via Squid on other host,major
166083,Mozilla crashes when accessing some XML documents in frames,critical
166218,Bad cookie selection based on cookie path (potential security problem),major
166256,after selecting flash button input from keyboard is ignored and then when closing the window that was opened after that makes mozilla hang up.,critical
16645,,major
166542,No helper application shown when clicking on link with MIME content,major
16667,"Apprunner would exit during ""Create New Profile""",major
166770,Crash with for in loop on onkeypress event,critical
167212,Time out's during making contact to another webpage's,major
167633,Press Back Button can view the data of a logged out secure session,critical
167736,filetype is cached even if server changes,minor
167738,File open dialog returns long URIs that open the directory instead of the file.,major
167875,right-click menu stays on-screen. remains until am option is chosen,minor
16848,DOM Crash,critical
168513,Enigmail crashing the browser [@ nsHttpConnection::~nsHttpConnection],critical
168894,Printing the NOIE About Us page crashes browser,critical
16953,new installer needs to be delivered to new area,major
170021,URL won't  load properly,major
170167,some downloads hang at completion,major
170272,Major performance problems with NVIDIA graphics cards,major
170460,Mozilla loses preferences information on disk full,critical
170515,Table should be width limited and sometimes explodes in width,major
17080,IME bug-Start typing Japanese characters causes Mozilla crash,major
170811,"after following link from tbox pop-up, focus is lost",major
170944,Hard wrapping <textarea> not working in Mozilla 1.1final,major
171131,Mozilla gets unstable with system hooks,major
171152,"""Error trying to validate certificate from members.ud.com using OCSP - directory lookup error"" when accessing any secured page of that site",major
171157,SSL v3 crashes mozilla,critical
171169,Form submit doesnt work,major
171292,Back button skips page if error,major
17146,Assertion in nsTableRowFrame::SetRowIndex(-1),critical
171522,"when modifying a transparent IFRAME style to inline, it becomes opaque",minor
171673,crashing when printing selection,major
171924,Bad change in <form> (with no action) behavior,major
172232,mach-o: unable to save file via helper app dlg (uriloader?),critical
172679,"Regarding to fix 172075, for Content pack (need update) appears",critical
172899,"Resize command made window approx 2 pixels wide/10 high, and same for all new windows",minor
173004,using gestures to view source of an image crashes pheonix,critical
17302,"A saved change in Summary causes ""+"" in Status Summary to disappear",critical
173052,window.open problem.,major
173178,nsXIEngine.cpp uses tempnam instead of mkstemp,major
17320,Free mismatched memory in nsImageMap.cpp,minor
173247,Bookmarks are not saved on exit,critical
173883,browser opened from About Phoenix is modal,minor
17434,Crash loading page,critical
1744,NGLayout hangs forever on nsIURL::Read() if file is empty,critical
17444,Table loading is extremely slow!,minor
174569,Serious problems running Flash Player 6 v50 in Mozilla,critical
174731,Spurious flags are set by default,major
175310,text in ALIGN=right table cell is overlapping the cell to the right,minor
176052,iframes are hidden when sized to fit a page w/css body {margin:0px; overflow:hidden;},major
176318,N700 M101 crash at internatinal sites [@ ATOK15W.IME],critical
176409,Vertical scrollbar missed after zooming,major
176503,MS Sharepoint rejects authentication when I try to update a list or calendar.,major
176772,only the background-image will be displayed,major
177176,Registering and unregistering as app-startup observer behaves strange,major
177531,Automatic proxy configuration with PAC file does not work.,major
17774,Passing null as UIName results in crash,critical
177897,"With small documents zooming the text size results in a vertical ""scrollbar"" that freezes the interface until document reload",minor
17818,Class registered with a progID empty won't be accessible at the first run.,major
178350,urichecker crashes things,critical
178399,JavaScript does not work in XHTML,major
17853,Mozilla Crashed when the url location bar is left-mouse clicked,major
178580,Missing static text from widgets,critical
178884,Bookmarks-toolbar-part with folders can get into a resize-loop when on the menubar,minor
179312,server.domain.xyz received a message with incorrect Message Authentification Code,major
179419,lwon't load pdf files; message is loading stopped,major
179664,menu cursor vanishes while hovering over menu items,minor
179697,OR terms need extra level of bracketing,major
180263,Crash when accessing certain non-ASCII URI:s thru link,critical
180357,alt-d in German localization is not activating Datei,major
180640,Dragging selection in URL bar crashes mozilla,critical
180763,"wrong Version reported in Windows ""Properties"" dialog box",minor
181086,Prefs cannot be stored in UNC paths,major
181094,(sometime) crash if autocomplete in form fields is used,critical
18161,FORM without ACTION seems to POST to /,major
182029,Mozilla -seems- not to accept cookies from this website; silently.,major
182031,Pretty-printer not always used,minor
182107,A div with a z-index of -1 causes the text of form elements it sits behind to become transparent,major
182324,mozilla generates level 2 postscript that will not print on a level 1 printer,major
182330,Nonsense is displayed after a ASP.NET site returns an Image,minor
182394,When vewing engilsh web pages it said trhat I need to download chinese fonts displayer.,major
182473,startup errors messages about procedure entry points and preferences not working,major
182531,crash when @import in userContent.css has a semicolon at the end of the line,critical
182606,Browser crashed when simply opening the URL,critical
18307,Selecting text in install program freezes mozilla,major
1841,Selecting text across lines with varying character spacing styles doesn't track cursor,minor
184931,Trap in GKCONTNT.DLL ,critical
185000,Make Integration of mozilla and Java Plugin be better,major
185160,[gtk2] crashes due to uninitialized mDrawingarea,critical
185357,iframe can crash printing if will not fit on one page,critical
185440,"mozilla crashes (very often), sc gives something about tooltips",critical
185612,can't focus to nor type into any text input field,major
185646,browser crash on page  load,critical
185686,Saving complete page is unavailable,major
185864,N701 crash [@ nsWindowMediator::RemoveAndUpdateSynthetics],critical
186023,select and recv (read) on socket after close,major
186133,DOM Performance Regression,major
186184,Last item not displayed in select list box,minor
186281,memory exhaustion,critical
186324,Browser stops responding after trying to execute changed preferences.,critical
186408,"on slow connection surfing  28.8 all images on any page of average size or larger only partially display with half missing but mozilla won't display the right click mouse image ""show image"" option so mozilla must thinks it's already loaded completely.",major
18656,"plugins not being launched, files are coming up as unrecgnozied.",critical
186766,browser crash on page reload,critical
187365,Video images downloaded from other websites are very small.,major
187757,"Get ""connection refused"" error whenever I try to access anything on the internet",critical
187921,Clicking on help related link brings up popup window but no data is displayed window is blank.,major
188395,Link in email loads new page in browser without closing print preview,minor
188522,Repeatedly opening new windows when called from external program.,major
188609,Need separate tokenizer for View Source,minor
188652,split header graphic in www.clonaid.com,major
188803,make style rules immutable?,major
188996,[gtk2] menus from menubar not dismissed when clicking elsewhere in window,minor
189079,"Table containing data=""foo.html"" OBJECTs renders incorrectly.",minor
189461,Mozilla does not detect the java plugin,major
189544,Crash in XPCOM:EventReceiver on exit ,critical
189580,mouse cursor does not change on keyboard navigation,minor
189624,SOCKS Proxies seem to be broken in today's builds,critical
189980,"i typed a masterpasswort, but it is never be request",major
190245,Browser Gives /content/newserver.xul error and hangs,critical
190498,xpath subtraction produces incorrect results,critical
190683,Javascript does not write to document the form information,major
19106,Cannot scroll horizontally with keyboard,minor
19124,nothing is diplayed,major
19138,"[PP]On Mac, portions of businessjournal page are missing in window.",major
191585,crash on exit seems to correlate with when bugzilla queries quit working,critical
191845,Could not establish an encrypted connection,major
19196,Wrong acces to multi-homed sites,major
191974,Using ISINDEX crashes Mozilla,critical
192024,Crash in nsComposerCommandsUpdater::SelectionIsCollapsed(),major
192130,crashes [@ nsXULDocument::ContentAppended],critical
192391,<i/> and <b/> are not processed correctly.,minor
19244,Menubar does not display ,major
192737,NS|ProfileInternal.currentProfile Component returned failure code 0x80004005 (NS_ERROR_FAILURE),critical
192748,Master Password timeout duration text field crashed mozilla 1.3b,major
192799,Last 2 or 3 nightly builds suffer from random lockups. With clean install also.,critical
19283,Binary PNG transparency does not work,major
193125,Reassign bug forces attempt to change to NEW even when not specified,major
193298,XBL doesn't deal well with ReplaceChild DOM manipulation,major
193558,unable to include a href to file:// in web page. security error content at http://localhost/x.html may not link to file:///c:/temp/ in javascript console,major
193624,"annoying ""document contains no data"" popup",minor
193935,Webmail (AKO - Army Knowledge Online by Netscape?) compose windows are not drawn correctly and are missing elements,minor
194336,"The toolbar, after customizing it, partially disappears and autocomplete is off to the left",minor
19447,""":hover"" Causing Style to Flicker",minor
194473,MOZ_PHOENIX=1 should imply do not build chatzilla,minor
194581,Press ^K to Google search after an empty Google search crashes Phoenix.,critical
195081,"Windows' SendTo >> Moz Browser needs to be installed, enabled",minor
195228,phoenix doesn't disable javascript,major
195443,xmlrpc broken,major
195534,a pop up window comes up for each embeded object without a plug in. multiple pop up ,critical
195725,german/french fonts not properly displayed e.g  apostrophe  appears as ´ (alt 0142),major
1958,Submitting form does not send all info to server,major
196005,Download: dataloss in case of opening with default application + browser closed,major
196020,can't save pdf document that is under link on this page,major
196170,browser crash upon opening page,critical
1962,"HTTP header ""Content-Style-Type"" is ignored",major
196306,Mozilla goes into a loop when trying to print (even to a file),critical
196323,Last digit not pasted after copying text ending in a number,minor
196334,The page looks wrong in mozilla in netscape,major
196424,bbc news ticker in the wrong places,major
196835,Redirect to a gzipped page is broken in current release candidate. Works in Mozilla 1.3b.,major
196917,Crash in [@ nsDiskCacheMap::FindRecord] clearing cache and reloading a page.,critical
197003,Save As &  Save Image As shorten filenames,major
197076,POST upload leaves file open,minor
197163,Nested <div> elements used with CSS for positioning are not visible.,major
197450,Invalid certificate message for valid certificate,major
197573,crash if MozOpacity is called for an image object before it has been created,critical
197800,Page will not be loaded completely with pipelining enabeled,minor
198133,Leaks from zlibAlloc,major
198272,"Very long lines wrapped, even when no whitespace present.",minor
198310,"In Bookmarks Manager, right click(s) on folders is handled twice",minor
198312,installed system font face ignored in version 1.3 final (worked in 1.2),minor
198324,gklayout.dll crash,critical
198714,Listening to live stream doesn't start - worked earlier,minor
198725,<ABBR> parses badly if the abbreviation contains a newline in the source file,minor
198796,Autocomplete not highlighting in location bar,major
198914,Crashes on attempt to print,critical
198989,image not being loaded via innerhtml swap,minor
198997,Some browsers don't show new products added to Bugzilla database,major
199061,Alternate case email addresses sending email twice,major
199064,Consistent crash when browsing http://www.buzzmachine.com/archives/2003_03.html#003230,critical
199204,"Warning: nsHTMLAttributes.h: ""mBits"" might be used before it is set",minor
199248,Title tips (tooltips) flashes on Bookmark Sidebar,minor
199297,when I push on the web features button in the options/preferences window Phoenix hangs and if I push close crashes,minor
19945,[dogfood][IME] IME commit's wrong behavior,major
19967,[DOGFOOD] Crash on screen name submit in AIM,critical
200132,http://images.maariv.co.il/channels/1/ART/458/281.html,minor
200402,JavaScript: Can't change frame location accross domains (regression),major
200774,"CSS2 fixed div, multiple physical pages, Print Preview crashes Moz",critical
200833,"Printing in Mozilla 1.3 on Solaris 8 fails with ""No printer could be found""",major
200880,"Attempt to download Disk Image Viewer, file name has .jpg appended",major
200957,CanSeeBug should check if the user will have access after changes,minor
20100,Crash when clicking on combobox,critical
201283,"""States"" dropdown combo box not drawn - all choices listed as text, next to expected location of combo box.",major
20150,Browsing area flashes garbage between page loads,minor
